id,key,value,type
103324694,highway,traffic_signals,regular
103326832,highway,traffic_signals,regular
103326832,traffic_signals,signal,regular
103327111,railway,level_crossing,regular
103327207,light_rail,yes,regular
103327207,name,Entertainment Center,regular
103327207,network,NJ Transit,regular
103327207,operator,NJ Transit,regular
103327207,public_transport,stop_position,regular
103327207,wheelchair,yes,regular
103329472,railway,level_crossing,regular
103331232,highway,motorway_junction,regular
103331232,noref,yes,regular
103332730,railway,level_crossing,regular
103334115,highway,traffic_signals,regular
103334115,traffic_signals,signal,regular
103334146,highway,motorway_junction,regular
103334146,ref,4,regular
103336133,highway,motorway_junction,regular
103336133,ref,5A,regular
103341968,highway,motorway_junction,regular
103341968,ref,4,regular
103344511,highway,motorway_junction,regular
103344511,ref,5A,regular
103344525,highway,traffic_signals,regular
103346474,highway,traffic_signals,regular
103353228,highway,traffic_signals,regular
103353257,highway,traffic_signals,regular
103353258,highway,traffic_signals,regular
103353258,railway,level_crossing,regular
103353266,highway,traffic_signals,regular
103353266,traffic_signals,signal,regular
103353268,highway,traffic_signals,regular
103353268,traffic_signals,signal,regular
103353272,highway,traffic_signals,regular
103353294,highway,traffic_signals,regular
103356101,highway,traffic_signals,regular
103356105,highway,traffic_signals,regular
103356110,highway,traffic_signals,regular
103356110,traffic_signals,signal,regular
103356112,highway,traffic_signals,regular
103356112,traffic_signals,signal,regular
103357072,highway,traffic_signals,regular
103357082,highway,traffic_signals,regular
103357115,highway,traffic_signals,regular
103357115,traffic_signals,signal,regular
103357124,highway,traffic_signals,regular
103357124,traffic_signals,signal,regular
103357181,highway,traffic_signals,regular
103362839,highway,traffic_signals,regular
103363113,highway,traffic_signals,regular
103363137,highway,traffic_signals,regular
103363137,traffic_signals,signal,regular
103363153,highway,traffic_signals,regular
103366932,highway,traffic_signals,regular
103367109,highway,traffic_signals,regular
103367109,traffic_signals,signal,regular
103370083,highway,traffic_signals,regular
103370083,traffic_signals,signal,regular
103370089,highway,traffic_signals,regular
103370089,traffic_signals,signal,regular
103370096,highway,traffic_signals,regular
103370096,traffic_signals,signal,regular
103370107,highway,traffic_signals,regular
103370107,traffic_signals,signal,regular
103370115,highway,traffic_signals,regular
103370120,highway,traffic_signals,regular
103370120,traffic_signals,signal,regular
103373882,highway,traffic_signals,regular
103376627,highway,traffic_signals,regular
103376631,highway,traffic_signals,regular
103376920,highway,traffic_signals,regular
103376920,traffic_signals,signal,regular
103376922,highway,traffic_signals,regular
103376924,highway,traffic_signals,regular
103376924,traffic_signals,signal,regular
103376928,railway,level_crossing,regular
103376950,highway,traffic_signals,regular
103376950,traffic_signals,signal,regular
103383237,highway,traffic_signals,regular
103383279,highway,traffic_signals,regular
103384742,highway,motorway_junction,regular
103384769,highway,motorway_junction,regular
103384769,noref,yes,regular
103395716,highway,traffic_signals,regular
103395716,traffic_signals,signal,regular
103395754,highway,traffic_signals,regular
103395754,traffic_signals,signal,regular
103401450,highway,traffic_signals,regular
103401510,railway,level_crossing,regular
103404059,highway,traffic_signals,regular
103405367,highway,traffic_signals,regular
103409890,highway,traffic_signals,regular
103409913,highway,traffic_signals,regular
103410007,highway,traffic_signals,regular
103410021,highway,traffic_signals,regular
103416330,highway,traffic_signals,regular
103416330,traffic_signals,signal,regular
103416348,highway,traffic_signals,regular
103416348,traffic_signals,signal,regular
103416539,barrier,gate,regular
103417916,railway,level_crossing,regular
103419336,highway,traffic_signals,regular
103420269,highway,traffic_signals,regular
103420269,traffic_signals,signal,regular
103420277,highway,traffic_signals,regular
103420277,traffic_signals,signal,regular
103420641,barrier,toll_booth,regular
103420663,highway,motorway_junction,regular
103420663,ref,5B,regular
103420876,highway,motorway_junction,regular
103420876,ref,5B,regular
103421548,highway,traffic_signals,regular
103421553,highway,traffic_signals,regular
103423376,highway,traffic_signals,regular
103423376,traffic_signals,signal,regular
103423383,highway,traffic_signals,regular
103423383,traffic_signals,signal,regular
103423388,railway,level_crossing,regular
103426840,railway,level_crossing,regular
103426861,railway,level_crossing,regular
103428710,railway,level_crossing,regular
103429158,railway,level_crossing,regular
103430689,highway,traffic_signals,regular
103430689,traffic_signals,signal,regular
103430701,highway,traffic_signals,regular
103430701,traffic_signals,signal,regular
103430703,highway,traffic_signals,regular
103430703,traffic_signals,signal,regular
103432793,highway,traffic_signals,regular
103434817,highway,traffic_signals,regular
103434821,highway,traffic_signals,regular
103440274,highway,traffic_signals,regular
103440274,traffic_signals,signal,regular
103445816,highway,traffic_signals,regular
103445816,traffic_signals,signal,regular
103446457,highway,traffic_signals,regular
103449500,highway,traffic_signals,regular
103450219,highway,traffic_signals,regular
103450459,highway,traffic_signals,regular
103450460,railway,level_crossing,regular
103452496,highway,traffic_signals,regular
103452496,traffic_signals,signal,regular
103453865,highway,traffic_signals,regular
103454390,highway,traffic_signals,regular
103459540,highway,traffic_signals,regular
103459902,highway,traffic_signals,regular
103459949,highway,traffic_signals,regular
103459949,traffic_signals,signal,regular
103465816,highway,traffic_signals,regular
103465821,highway,traffic_signals,regular
103465823,highway,traffic_signals,regular
103465826,highway,traffic_signals,regular
103465828,highway,traffic_signals,regular
103465832,highway,traffic_signals,regular
103474030,highway,traffic_signals,regular
103474030,traffic_signals,signal,regular
103480596,highway,traffic_signals,regular
103480637,highway,traffic_signals,regular
103490999,railway,level_crossing,regular
109729474,highway,traffic_signals,regular
109729661,highway,traffic_signals,regular
109729699,highway,traffic_signals,regular
109729731,highway,traffic_signals,regular
109729739,highway,traffic_signals,regular
109729770,highway,traffic_signals,regular
109729811,highway,traffic_signals,regular
109729852,highway,traffic_signals,regular
109729868,highway,traffic_signals,regular
109735337,highway,motorway_junction,regular
109735337,old_ref,41,regular
109735337,ref,346B,regular
109738876,highway,motorway_junction,regular
109738876,old_ref,17,regular
109738876,ref,22,regular
109738982,highway,motorway_junction,regular
109738982,noref,yes,regular
109739090,highway,traffic_signals,regular
109739272,highway,traffic_signals,regular
109739547,highway,traffic_signals,regular
109740428,highway,traffic_signals,regular
109745905,highway,traffic_signals,regular
109746089,highway,motorway_junction,regular
109746089,noref,yes,regular
109747646,highway,motorway_junction,regular
109747646,old_ref,16,regular
109747646,ref,20,regular
109748083,highway,traffic_signals,regular
109748130,highway,motorway_junction,regular
109748130,noref,yes,regular
109748357,highway,motorway_junction,regular
109748357,old_ref,42,regular
109748357,ref,346C,regular
109750342,highway,motorway_junction,regular
109750342,old_ref,41,regular
109750342,ref,346B,regular
109753054,highway,stop,regular
109753452,highway,motorway_junction,regular
109753452,noref,yes,regular
109753477,highway,motorway_junction,regular
109753477,ref,23,regular
109753510,highway,traffic_signals,regular
109755755,highway,motorway_junction,regular
109755755,noref,yes,regular
109756094,highway,traffic_signals,regular
109756357,highway,motorway_junction,regular
109756357,old_ref,16,regular
109756357,ref,20,regular
109756990,railway,level_crossing,regular
109757069,railway,level_crossing,regular
109757299,railway,level_crossing,regular
109757466,railway,crossing,regular
109757561,railway,level_crossing,regular
109757571,railway,level_crossing,regular
109757724,railway,level_crossing,regular
109758119,highway,traffic_signals,regular
109761669,highway,traffic_signals,regular
109761712,highway,motorway_junction,regular
109761712,old_ref,40,regular
109761712,ref,346A,regular
109763233,highway,traffic_signals,regular
109763991,highway,motorway_junction,regular
109763991,old_ref,39,regular
109763991,ref,345,regular
109767412,crossing,zebra,regular
109767412,highway,crossing,regular
109770169,highway,motorway_junction,regular
109770169,old_ref,17,regular
109770169,ref,22,regular
109773125,highway,traffic_signals,regular
109773429,railway,level_crossing,regular
109773755,highway,motorway_junction,regular
109773755,old_ref,42,regular
109773755,ref,346C,regular
109774579,highway,motorway_junction,regular
109774579,old_ref,43,regular
109774579,ref,347,regular
109775057,highway,traffic_signals,regular
109775075,highway,traffic_signals,regular
109776556,highway,traffic_signals,regular
109778107,highway,traffic_signals,regular
109781803,highway,traffic_signals,regular
109782210,highway,traffic_signals,regular
109783931,highway,motorway_junction,regular
109783931,old_ref,39,regular
109783931,ref,345,regular
109784213,highway,traffic_signals,regular
109784227,crossing,zebra,regular
109784227,highway,crossing,regular
109784297,highway,motorway_junction,regular
109784297,noref,yes,regular
109784415,highway,traffic_signals,regular
109786980,highway,motorway_junction,regular
109786980,old_ref,43A,regular
109786980,ref,347A,regular
109787040,highway,traffic_signals,regular
109788517,highway,motorway_junction,regular
109788517,old_ref,37,regular
109788517,ref,343,regular
109789819,highway,traffic_signals,regular
109789845,highway,traffic_signals,regular
109791270,highway,motorway_junction,regular
109791270,noref,yes,regular
109792682,highway,motorway_junction,regular
109792682,noref,yes,regular
109792949,highway,traffic_signals,regular
109795100,crossing,zebra,regular
109795100,highway,crossing,regular
109795250,highway,traffic_signals,regular
109795392,highway,motorway_junction,regular
109795392,noref,yes,regular
109800282,highway,traffic_signals,regular
109800439,highway,traffic_signals,regular
109802871,highway,traffic_signals,regular
109802932,highway,traffic_signals,regular
109803599,highway,traffic_signals,regular
109803610,highway,traffic_signals,regular
109808986,highway,traffic_signals,regular
109808990,highway,traffic_signals,regular
109808995,highway,traffic_signals,regular
109811674,highway,traffic_signals,regular
109811697,highway,traffic_signals,regular
109811705,highway,traffic_signals,regular
109811809,highway,traffic_signals,regular
109813238,highway,traffic_signals,regular
109813265,highway,traffic_signals,regular
109813276,highway,traffic_signals,regular
109813286,highway,traffic_signals,regular
109813292,highway,traffic_signals,regular
109813337,highway,traffic_signals,regular
109813396,highway,traffic_signals,regular
109813507,highway,traffic_signals,regular
109813532,highway,traffic_signals,regular
109813544,highway,traffic_signals,regular
109814377,highway,traffic_signals,regular
109814391,highway,traffic_signals,regular
109814427,highway,traffic_signals,regular
109814445,highway,traffic_signals,regular
109814449,highway,traffic_signals,regular
109821644,highway,traffic_signals,regular
109821689,highway,traffic_signals,regular
109825559,highway,traffic_signals,regular
109825575,highway,traffic_signals,regular
109826000,highway,traffic_signals,regular
109826036,highway,traffic_signals,regular
109826043,highway,traffic_signals,regular
109826099,highway,traffic_signals,regular
109826109,highway,traffic_signals,regular
109826109,railway,level_crossing,regular
109837238,railway,level_crossing,regular
109837295,railway,level_crossing,regular
109837448,highway,traffic_signals,regular
109837836,highway,traffic_signals,regular
109839053,highway,traffic_signals,regular
109839902,highway,traffic_signals,regular
109849382,highway,traffic_signals,regular
109849438,highway,traffic_signals,regular
109849538,highway,traffic_signals,regular
109849559,highway,traffic_signals,regular
109849567,highway,traffic_signals,regular
109849577,highway,traffic_signals,regular
109849587,highway,traffic_signals,regular
109849596,highway,traffic_signals,regular
109849604,highway,traffic_signals,regular
109849614,highway,traffic_signals,regular
109849626,highway,traffic_signals,regular
