id,user,uid,version,changeset,timestamp
4426615,choess,396743,13,50737501,2017-08-01T03:30:54Z
11589551,abergs95,5369304,17,59496085,2018-06-02T22:50:40Z
11589581,crystalwalrein,12290,4,3711679,2010-01-25T15:13:38Z
11589663,42429,42429,8,9712744,2011-11-01T13:56:14Z
11589692,abergs95,5369304,5,59489430,2018-06-02T16:28:32Z
11589697,abergs95,5369304,6,59475973,2018-06-02T02:29:53Z
11589699,florinbadita_telenav,2959379,9,53068677,2017-10-19T13:17:28Z
11589717,42429,42429,24,9712744,2011-11-01T13:56:50Z
11589842,flierfy,445671,5,32026430,2015-06-17T11:09:14Z
11589871,bhousel_bot,2847867,12,50049495,2017-07-05T05:52:16Z
11589902,crystalwalrein,12290,3,3944814,2010-02-22T16:40:47Z
11590014,flierfy,445671,6,32026430,2015-06-17T11:07:16Z
11590075,abergs95,5369304,6,59475999,2018-06-02T02:33:05Z
11590111,njtbusfan,8107451,7,58661381,2018-05-03T21:35:14Z
11590159,Stephen214,4018842,10,56650026,2018-02-25T01:41:43Z
11590250,bhousel_bot,2847867,8,50049495,2017-07-05T05:52:16Z
11590324,MSoslow,400262,5,58139952,2018-04-16T14:32:11Z
11590344,cantor34,7496544,20,55795199,2018-01-27T06:04:42Z
11590460,peace2,119748,2,32875360,2015-07-25T17:47:35Z
11590507,choess,396743,6,44220324,2016-12-06T21:22:38Z
11590539,MSoslow,400262,6,58139717,2018-04-16T14:23:36Z
11590545,Stephen214,4018842,5,56650026,2018-02-25T01:41:43Z
11590614,bhousel_bot,2847867,6,50049495,2017-07-05T05:52:17Z
11590742,Stephen214,4018842,7,56650026,2018-02-25T01:41:43Z
11590794,peace2,119748,6,33299105,2015-08-12T20:00:57Z
11590802,njtbusfan,8107451,5,58491544,2018-04-27T22:55:27Z
11590816,NE2,207745,5,4840120,2010-05-29T09:38:14Z
11590900,njtbusfan,8107451,6,58491544,2018-04-27T22:55:27Z
11590916,choess,396743,4,44220324,2016-12-06T21:22:38Z
11590939,Stephen214,4018842,8,56650026,2018-02-25T01:41:43Z
